tracklet,label,score,best_frame
trj_id1_ti4_1023_tf4_1080,PP,47.89991760253906,33
trj_id1_ti4_1088_tf4_1088,Unknown,0,0
trj_id1_ti4_1741_tf4_1752,PP,11.913393020629883,11
trj_id1_ti4_1797_tf4_1797,Unknown,0,0
trj_id1_ti4_1799_tf4_1819,PP,16.10408592224121,13
trj_id1_ti4_1822_tf4_1825,Unknown,0,0
trj_id1_ti4_1861_tf4_1895,OG,24.994115829467773,27
trj_id1_ti4_1904_tf4_1949,OG,26.312440872192383,46
trj_id1_ti4_1_tf4_42,GB,31.50176239013672,36
trj_id1_ti4_2580_tf4_2580,OB,0.9999868869781494,1
trj_id1_ti4_2585_tf4_2590,OB,5.9062819480896,1
trj_id1_ti4_2672_tf4_2714,OB,42.73335647583008,1
trj_id1_ti4_2938_tf4_2938,Unknown,0,0
trj_id1_ti4_2940_tf4_2977,BG,28.31611442565918,4
trj_id1_ti4_47_tf4_94,GB,31.193925857543945,42
trj_id1_ti4_547_tf4_553,OG,6.9998860359191895,5
trj_id1_ti4_555_tf4_558,OG,3.990964889526367,2
trj_id1_ti4_567_tf4_652,OG,58.56881332397461,18
trj_id1_ti4_759_tf4_973,OG,156.45489501953125,17
trj_id2_ti4_117_tf4_145,GB,20.83046531677246,12
trj_id2_ti4_1263_tf4_1303,BP,38.79157257080078,17
trj_id2_ti4_1305_tf4_1305,BP,0.9924006462097168,1
trj_id2_ti4_1442_tf4_1668,OG,191.7511749267578,60
trj_id2_ti4_157_tf4_328,GB,116.09944915771484,169
trj_id2_ti4_1671_tf4_1836,OG,131.9973907470703,81
trj_id2_ti4_1842_tf4_1842,OG,0.9997618794441223,1
trj_id2_ti4_1975_tf4_1975,PP,0.99998939037323,1
trj_id2_ti4_1996_tf4_2031,PP,17.10190773010254,36
trj_id2_ti4_1_tf4_42,OB,40.604576110839844,2
trj_id2_ti4_2047_tf4_2050,Unknown,0,0
trj_id2_ti4_2054_tf4_2160,OB,106.58222961425781,6
trj_id2_ti4_2193_tf4_2256,BP,61.09325408935547,52
trj_id2_ti4_2260_tf4_2268,BG,8.986946105957031,4
trj_id2_ti4_2271_tf4_2440,BG,162.9354705810547,25
trj_id2_ti4_2472_tf4_2577,OG,66.37828826904297,78
trj_id2_ti4_2593_tf4_2830,OG,194.07241821289062,112
trj_id2_ti4_2834_tf4_3000,OG,149.32046508789062,139
trj_id2_ti4_367_tf4_503,GB,90.37483215332031,84
trj_id2_ti4_43_tf4_65,PP,13.509550094604492,1
trj_id2_ti4_654_tf4_724,GB,43.68297576904297,9
trj_id2_ti4_69_tf4_72,PP,1.5089573860168457,1
trj_id2_ti4_81_tf4_81,Unknown,0,0
trj_id2_ti4_975_tf4_1092,OG,90.31098175048828,41
trj_id3_ti4_1104_tf4_1668,OB,506.386962890625,76
trj_id3_ti4_1671_tf4_1895,OB,222.4783935546875,54
trj_id3_ti4_1975_tf4_1975,OB,0.9999998807907104,1
trj_id3_ti4_1982_tf4_1983,OB,1.9999912977218628,2
trj_id3_ti4_2037_tf4_2037,PP,0.9931081533432007,1
trj_id3_ti4_2046_tf4_2160,BP,114.86092376708984,112
trj_id3_ti4_2193_tf4_2207,OB,14.942456245422363,10
trj_id3_ti4_2226_tf4_2565,OB,336.7145690917969,17
trj_id3_ti4_2756_tf4_2834,OB,62.5498046875,9
trj_id3_ti4_2837_tf4_2855,OB,18.999530792236328,1
trj_id3_ti4_2859_tf4_3000,OB,139.6707000732422,18
trj_id3_ti4_935_tf4_936,OB,1.99684476852417,2
trj_id3_ti4_939_tf4_1101,OB,157.59127807617188,75
trj_id4_ti4_1099_tf4_1102,OG,3.2710371017456055,4
trj_id4_ti4_1104_tf4_1388,GB,207.2837371826172,285
trj_id4_ti4_1402_tf4_1415,OG,10.732217788696289,7
trj_id4_ti4_1557_tf4_1668,GB,57.91694641113281,38
trj_id4_ti4_1686_tf4_1752,PG,47.03889083862305,66
trj_id4_ti4_1797_tf4_1797,PG,0.9997931122779846,1
trj_id4_ti4_1799_tf4_1817,PG,10.847643852233887,19
trj_id4_ti4_1854_tf4_1859,Unknown,0,0
trj_id4_ti4_2012_tf4_2469,OG,403.65496826171875,40
trj_id4_ti4_2472_tf4_2834,GB,294.71856689453125,16
trj_id4_ti4_254_tf4_257,Unknown,0,0
trj_id4_ti4_276_tf4_595,OB,313.09063720703125,147
trj_id4_ti4_2837_tf4_2855,GB,6.296833515167236,7
trj_id4_ti4_2859_tf4_3000,GB,131.73651123046875,100
trj_id4_ti4_597_tf4_932,OB,331.85675048828125,4
trj_id5_ti4_1106_tf4_1244,OG,98.66403198242188,88
trj_id5_ti4_1253_tf4_1263,OG,7.660516738891602,11
trj_id5_ti4_1292_tf4_1388,OG,69.00997161865234,28
trj_id5_ti4_1402_tf4_1536,GB,104.24724578857422,130
trj_id5_ti4_1_tf4_544,OG,441.455078125,205
trj_id5_ti4_2391_tf4_2990,PP,599.990478515625,49
trj_id5_ti4_2991_tf4_3000,PP,9.999999046325684,1
trj_id5_ti4_723_tf4_746,OG,11.595541000366211,15
trj_id5_ti4_800_tf4_1101,GB,194.54769897460938,121
trj_id6_ti4_1566_tf4_1592,OP,25.81940460205078,27
trj_id6_ti4_2342_tf4_2469,GB,115.25882720947266,43
trj_id6_ti4_47_tf4_241,OB,194.89678955078125,46
trj_id6_ti4_976_tf4_1066,GG,66.11740112304688,24
trj_id7_ti4_1742_tf4_2341,GB,416.8780517578125,60
