tracklet,label,score,best_frame
trj_id1_ti2_1186_tf2_1525,BP,318.54156494140625,183
trj_id1_ti2_1616_tf2_1786,OG,128.63710021972656,90
trj_id1_ti2_1791_tf2_1823,OG,23.30693817138672,21
trj_id1_ti2_1828_tf2_1831,OB,3.9999985694885254,3
trj_id1_ti2_1835_tf2_1838,OB,3.9999356269836426,2
trj_id1_ti2_1845_tf2_2012,OG,110.36634826660156,54
trj_id1_ti2_1_tf2_18,GB,11.787248611450195,2
trj_id1_ti2_2146_tf2_2160,OP,9.887094497680664,15
trj_id1_ti2_2194_tf2_2227,BP,33.83282470703125,21
trj_id1_ti2_2236_tf2_2324,BP,87.48786163330078,17
trj_id1_ti2_2327_tf2_2335,Unknown,0,0
trj_id1_ti2_2339_tf2_2345,GG,3.819575548171997,1
trj_id1_ti2_2349_tf2_2350,OG,1.9985634088516235,2
trj_id1_ti2_2359_tf2_2410,BP,50.940486907958984,2
trj_id1_ti2_2413_tf2_2481,BP,63.616947174072266,67
trj_id1_ti2_2729_tf2_2738,GB,9.954751014709473,8
trj_id1_ti2_320_tf2_603,BP,274.29083251953125,63
trj_id1_ti2_630_tf2_638,BP,8.994416236877441,1
trj_id1_ti2_640_tf2_643,BP,3.9919233322143555,4
trj_id1_ti2_811_tf2_812,OB,1.9996669292449951,1
trj_id1_ti2_817_tf2_1173,OB,345.78533935546875,33
trj_id2_ti2_1054_tf2_1110,GB,46.71723937988281,29
trj_id2_ti2_1125_tf2_1334,GB,181.76217651367188,49
trj_id2_ti2_1336_tf2_1427,OB,91.92098999023438,6
trj_id2_ti2_1474_tf2_1532,GB,39.47591018676758,18
trj_id2_ti2_1674_tf2_1690,GB,11.010869026184082,1
trj_id2_ti2_1777_tf2_1889,GB,80.41790008544922,20
trj_id2_ti2_1896_tf2_1914,GB,13.357702255249023,2
trj_id2_ti2_1944_tf2_1958,GB,14.264199256896973,7
trj_id2_ti2_1_tf2_18,OB,17.583925247192383,12
trj_id2_ti2_2166_tf2_2227,OG,40.53976058959961,17
trj_id2_ti2_2232_tf2_2233,Unknown,0,0
trj_id2_ti2_2236_tf2_2258,OG,20.309267044067383,4
trj_id2_ti2_2270_tf2_2324,OG,44.52757263183594,37
trj_id2_ti2_22_tf2_417,OB,388.180908203125,67
trj_id2_ti2_2327_tf2_2335,BP,8.975576400756836,2
trj_id2_ti2_2339_tf2_2345,BP,6.729515552520752,4
trj_id2_ti2_2349_tf2_2350,BP,1.9004933834075928,2
trj_id2_ti2_2380_tf2_2513,OG,82.05894470214844,31
trj_id2_ti2_2854_tf2_2977,OB,118.65380859375,11
trj_id2_ti2_426_tf2_570,OG,118.60366821289062,74
trj_id3_ti2_1180_tf2_1301,OB,121.99866485595703,11
trj_id3_ti2_1318_tf2_1334,OB,16.92257308959961,3
trj_id3_ti2_1336_tf2_1442,GB,102.23453521728516,56
trj_id3_ti2_1444_tf2_1532,OB,85.94679260253906,9
trj_id3_ti2_1542_tf2_1823,OB,278.6001281738281,30
trj_id3_ti2_1828_tf2_1831,OG,3.4788167476654053,2
trj_id3_ti2_1835_tf2_1838,Unknown,0,0
trj_id3_ti2_1845_tf2_1855,OB,10.993301391601562,2
trj_id3_ti2_193_tf2_282,OG,62.39870834350586,68
trj_id3_ti2_1_tf2_177,OG,138.49417114257812,17
trj_id3_ti2_2024_tf2_2102,OG,47.11399459838867,72
trj_id3_ti2_2108_tf2_2142,OG,26.050251007080078,28
trj_id3_ti2_2519_tf2_2557,OG,30.293371200561523,14
