ant,from,to,m,tracklet,assigned,single,source
BB,12001,12079,5,trj_id3_ti5_1_tf5_79,0,0,0
BB,12080,12088,5,trj_id3_ti5_80_tf5_88,0,0,0
BB,12089,12092,5,trj_id3_ti5_89_tf5_92,0,0,0
BB,12093,12093,5,trj_id3_ti5_93_tf5_93,0,0,0
BB,12094,12094,5,trj_id3_ti5_94_tf5_94,0,0,0
BB,12095,12095,5,trj_id3_ti5_95_tf5_95,0,0,0
BB,12096,12255,5,trj_id3_ti5_96_tf5_255,0,0,0
BB,12256,12262,5,trj_id1_ti5_256_tf5_262,0,0,0
BB,12263,12856,5,trj_id1_ti5_263_tf5_856,0,0,0
BB,12857,13208,5,trj_id1_ti5_857_tf5_1208,0,0,0
BB,13209,13321,5,trj_id1_ti5_1209_tf5_1321,0,0,0
BB,13324,13421,5,trj_id1_ti5_1324_tf5_1421,0,0,0
BB,13422,13433,5,trj_id1_ti5_1422_tf5_1433,0,0,0
BB,13434,13506,5,trj_id2_ti5_1434_tf5_1506,0,0,0
BB,13507,13594,5,trj_id2_ti5_1507_tf5_1594,0,0,0
BB,13595,13595,5,trj_id2_ti5_1595_tf5_1595,0,0,0
BB,13596,13625,5,trj_id6_ti5_1596_tf5_1625,0,0,0
BB,13626,13635,5,trj_id5_ti5_1626_tf5_1635,0,0,0
BB,13636,13639,5,trj_id5_ti5_1636_tf5_1639,0,0,0
BB,13640,13704,5,trj_id7_ti5_1640_tf5_1704,0,0,0
BB,13705,13744,5,trj_id4_ti5_1705_tf5_1744,0,0,0
BB,13745,13749,5,trj_id3_ti5_1745_tf5_1749,0,0,0
BB,13750,13751,5,trj_id4_ti5_1750_tf5_1751,0,0,0
BB,13752,13767,5,trj_id3_ti5_1752_tf5_1767,0,0,0
BB,13768,13819,5,trj_id2_ti5_1768_tf5_1819,0,0,0
BB,13820,14009,5,trj_id2_ti5_1820_tf5_2009,0,0,0
BB,14010,14023,5,trj_id6_ti5_2010_tf5_2023,0,0,0
BB,14024,14075,5,trj_id7_ti5_2024_tf5_2075,0,0,0
