ant,from,to,m,tracklet,assigned,single,source
BB,1,272,1,trj_id3_ti1_1_tf1_272,0,0,0
BB,273,273,1,trj_id1_ti1_273_tf1_273,0,0,0
BB,274,279,1,trj_id3_ti1_274_tf1_279,0,0,0
BB,280,328,1,trj_id6_ti1_280_tf1_328,0,0,0
BB,329,498,1,trj_id3_ti1_329_tf1_498,0,0,0
BB,499,537,1,trj_id1_ti1_499_tf1_537,0,0,0
BB,538,686,1,trj_id1_ti1_538_tf1_686,0,0,0
BB,687,691,1,trj_id1_ti1_687_tf1_691,0,0,0
BB,692,835,1,trj_id1_ti1_692_tf1_835,0,0,0
BB,836,888,1,trj_id1_ti1_836_tf1_888,0,0,0
BB,889,917,1,trj_id1_ti1_889_tf1_917,0,0,0
BB,918,929,1,trj_id1_ti1_918_tf1_929,0,0,0
BB,930,943,1,trj_id3_ti1_930_tf1_943,0,0,0
BB,944,1101,1,trj_id3_ti1_944_tf1_1101,0,0,0
BB,1102,1108,1,trj_id3_ti1_1102_tf1_1108,0,0,0
BB,1109,1117,1,trj_id3_ti1_1109_tf1_1117,0,0,0
BB,1118,1126,1,trj_id3_ti1_1118_tf1_1126,0,0,0
BB,1127,1127,1,trj_id3_ti1_1127_tf1_1127,0,0,0
BB,1128,1187,1,trj_id3_ti1_1128_tf1_1187,0,0,0
BB,1188,1327,1,trj_id4_ti1_1188_tf1_1327,0,0,0
BB,1328,1366,1,trj_id6_ti1_1328_tf1_1366,0,0,0
BB,1367,1415,1,trj_id4_ti1_1367_tf1_1415,0,0,0
BB,1416,1495,1,trj_id1_ti1_1416_tf1_1495,0,0,0
BB,1496,1639,1,trj_id1_ti1_1496_tf1_1639,0,0,0
BB,1640,1659,1,trj_id1_ti1_1640_tf1_1659,0,0,0
BB,1660,1689,1,trj_id1_ti1_1660_tf1_1689,0,0,0
BB,1690,1743,1,trj_id1_ti1_1690_tf1_1743,0,0,0
BB,1744,1750,1,trj_id1_ti1_1744_tf1_1750,0,0,0
BB,1751,1871,1,trj_id5_ti1_1751_tf1_1871,0,0,0
BB,1872,1927,1,trj_id1_ti1_1872_tf1_1927,0,0,0
BB,1938,2278,1,trj_id1_ti1_1938_tf1_2278,0,0,0
BB,2279,2283,1,trj_id1_ti1_2279_tf1_2283,0,0,0
BB,2284,2290,1,trj_id1_ti1_2284_tf1_2290,0,0,0
BB,2291,2291,1,trj_id3_ti1_2291_tf1_2291,0,0,0
BB,2292,2294,1,trj_id1_ti1_2292_tf1_2294,0,0,0
BB,2295,2295,1,trj_id3_ti1_2295_tf1_2295,0,0,0
BB,2296,2301,1,trj_id1_ti1_2296_tf1_2301,0,0,0
BB,2302,2329,1,trj_id3_ti1_2302_tf1_2329,0,0,0
BB,2330,2337,1,trj_id1_ti1_2330_tf1_2337,0,0,0
BB,2338,2360,1,trj_id3_ti1_2338_tf1_2360,0,0,0
BB,2361,2373,1,trj_id1_ti1_2361_tf1_2373,0,0,0
BB,2374,2436,1,trj_id1_ti1_2374_tf1_2436,0,0,0
BB,2437,2625,1,trj_id1_ti1_2437_tf1_2625,0,0,0
BB,2626,2700,1,trj_id1_ti1_2626_tf1_2700,0,0,0
BB,2701,2707,1,trj_id1_ti1_2701_tf1_2707,0,0,0
BB,2708,2744,1,trj_id1_ti1_2708_tf1_2744,0,0,0
BB,2745,2748,1,trj_id1_ti1_2745_tf1_2748,0,0,0
BB,2749,3000,1,trj_id4_ti1_2749_tf1_3000,0,0,0
BG,1,355,1,trj_id4_ti1_1_tf1_355,0,0,0
BG,356,365,1,trj_id2_ti1_356_tf1_365,0,0,0
BG,366,372,1,trj_id4_ti1_366_tf1_372,0,0,0
BG,373,379,1,trj_id2_ti1_373_tf1_379,0,0,0
BG,380,380,1,trj_id4_ti1_380_tf1_380,0,0,0
BG,381,384,1,trj_id2_ti1_381_tf1_384,0,0,0
BG,385,409,1,trj_id2_ti1_385_tf1_409,0,0,0
BG,410,430,1,trj_id5_ti1_410_tf1_430,0,0,0
BG,431,438,1,trj_id4_ti1_431_tf1_438,0,0,0
BG,439,622,1,trj_id5_ti1_439_tf1_622,0,0,0
BG,623,630,1,trj_id4_ti1_623_tf1_630,0,0,0
BG,631,806,1,trj_id4_ti1_631_tf1_806,0,0,0
BG,807,823,1,trj_id2_ti1_807_tf1_823,0,0,0
BG,824,949,1,trj_id2_ti1_824_tf1_949,0,0,0
BG,950,966,1,trj_id2_ti1_950_tf1_966,0,0,0
BG,967,1400,1,trj_id2_ti1_967_tf1_1400,0,0,0
BG,1401,1402,1,trj_id2_ti1_1401_tf1_1402,0,0,0
BG,1403,1421,1,trj_id2_ti1_1403_tf1_1421,0,0,0
BG,1422,1465,1,trj_id3_ti1_1422_tf1_1465,0,0,0
BG,1466,1582,1,trj_id3_ti1_1466_tf1_1582,0,0,0
BG,1583,1812,1,trj_id3_ti1_1583_tf1_1812,0,0,0
BG,1813,2055,1,trj_id7_ti1_1813_tf1_2055,0,0,0
BG,2056,2057,1,trj_id4_ti1_2056_tf1_2057,0,0,0
BG,2058,2083,1,trj_id5_ti1_2058_tf1_2083,0,0,0
BG,2084,2102,1,trj_id4_ti1_2084_tf1_2102,0,0,0
BG,2103,2319,1,trj_id6_ti1_2103_tf1_2319,0,0,0
BG,2320,2396,1,trj_id2_ti1_2320_tf1_2396,0,0,0
BG,2397,2541,1,trj_id2_ti1_2397_tf1_2541,0,0,0
BG,2542,2542,1,trj_id2_ti1_2542_tf1_2542,0,0,0
BG,2543,2726,1,trj_id3_ti1_2543_tf1_2726,0,0,0
BG,2727,2728,1,trj_id3_ti1_2727_tf1_2728,0,0,0
BG,2729,2729,1,trj_id3_ti1_2729_tf1_2729,0,0,0
BG,2730,2740,1,trj_id3_ti1_2730_tf1_2740,0,0,0
BG,2741,2746,1,trj_id3_ti1_2741_tf1_2746,0,0,0
BG,2747,2768,1,trj_id3_ti1_2747_tf1_2768,0,0,0
BG,2769,3000,1,trj_id5_ti1_2769_tf1_3000,0,0,0
BO,1,272,1,trj_id3_ti1_1_tf1_272,1,0,0
BO,273,273,1,trj_id1_ti1_273_tf1_273,1,0,0
BO,274,279,1,trj_id3_ti1_274_tf1_279,1,0,0
BO,280,328,1,trj_id3_ti1_280_tf1_328,1,1,1
BO,329,498,1,trj_id3_ti1_329_tf1_498,1,0,0
BO,499,537,1,trj_id1_ti1_499_tf1_537,1,0,0
BO,538,686,1,trj_id1_ti1_538_tf1_686,1,0,0
BO,687,691,1,trj_id1_ti1_687_tf1_691,1,0,0
BO,692,835,1,trj_id1_ti1_692_tf1_835,1,0,0
BO,836,888,1,trj_id1_ti1_836_tf1_888,1,0,0
BO,889,917,1,trj_id1_ti1_889_tf1_917,1,0,0
BO,918,929,1,trj_id1_ti1_918_tf1_929,1,0,0
BO,930,943,1,trj_id3_ti1_930_tf1_943,1,0,0
BO,944,1101,1,trj_id3_ti1_944_tf1_1101,1,0,0
BO,1102,1108,1,trj_id3_ti1_1102_tf1_1108,1,0,0
BO,1109,1117,1,trj_id3_ti1_1109_tf1_1117,1,0,0
BO,1118,1126,1,trj_id3_ti1_1118_tf1_1126,1,0,0
BO,1127,1127,1,trj_id3_ti1_1127_tf1_1127,1,0,0
BO,1128,1187,1,trj_id3_ti1_1128_tf1_1187,1,0,0
BO,1188,1327,1,trj_id4_ti1_1188_tf1_1327,1,0,0
BO,1328,1366,1,trj_id6_ti1_1328_tf1_1366,1,0,0
BO,1367,1415,1,trj_id4_ti1_1367_tf1_1415,1,0,0
BO,1416,1495,1,trj_id1_ti1_1416_tf1_1495,1,0,0
